,p.HS1,p.S1H,p.S1S2,p.HD,rr.S1,rr.S2,c.H,c.S1,c.S2,c.Trt,u.H,u.S1,u.S2,u.Trt,Cost_NoTrt,Cost_Trt,QALY_NoTrt,QALY_Trt,ICER
7457,0.145904967,0.354788761,0.112698238,0.006252676,2.994125757,9.549532284,2330.530552,4237.478731,14165.0791,10611.92855,0.986739838,0.772108434,0.465156949,0.928290409,80616.23507,144476.1625,14.64862485,15.12676667,133558.5477
7458,0.134145292,0.544649986,0.115460409,0.004320228,3.047715641,9.889562794,1967.390688,3654.461471,14584.1428,14105.46408,0.974350449,0.805792255,0.488278132,0.926506356,74001.11953,146578.1363,16.08982116,16.38667432,244487.9393
7459,0.100883248,0.545205623,0.103668148,0.005542795,3.019173278,10.20276985,2029.196552,4059.348863,16160.45949,10755.05199,0.991983619,0.769851989,0.454009441,0.931558171,66097.96175,107142.7408,16.54057705,16.86871154,125085.2333
7460,0.199911442,0.505157617,0.086988534,0.005271221,3.015383068,10.00461682,1681.143585,3804.023876,13624.92625,9200.75318,0.982823485,0.749855634,0.451168073,0.924780948,69433.88113,126615.2381,15.03448462,15.64676318,93391.08077
7461,0.109169981,0.46280582,0.103648531,0.005518069,2.957596851,9.759027344,1899.627293,4203.778625,14082.34296,13014.20676,0.99882882,0.778375259,0.489852574,0.949154927,65354.60935,123530.1484,16.34726319,16.74887584,144854.8444
7462,0.182071275,0.546576198,0.112032769,0.005029887,2.971786398,10.23819875,1774.586574,3797.801128,15620.67885,10545.83642,0.989629132,0.77079627,0.496818405,0.982079295,78935.50361,141956.4167,15.3238894,15.95129343,100447.0953
7463,0.148107527,0.498649747,0.084825835,0.002361723,2.988986202,9.995500184,2085.269604,4403.286282,17390.5646,11223.28053,0.98734455,0.746678484,0.524108795,0.927453982,90758.46799,157441.1886,16.96045386,17.5221061,118725.9959
7464,0.157559631,0.489877848,0.107227369,0.010000052,2.959328321,9.850237601,2105.096267,3928.45385,15835.85332,11491.82915,0.993136726,0.721611131,0.552616725,0.937719919,65064.99226,118080.0496,14.2142744,14.79069522,91972.83547
7465,0.132780138,0.489263444,0.113376174,0.003140488,2.957572453,10.08182314,2236.655595,4019.77979,13324.05296,12672.09087,0.997042076,0.742697229,0.512948505,0.933406735,80799.6517,153277.1305,16.57267336,17.07767624,143518.9402
7466,0.128562307,0.443961938,0.107991982,0.003803601,2.938228628,10.48309422,2101.73313,4038.828262,14191.47095,12183.4895,0.994241082,0.758943129,0.545218301,0.940919236,78338.85884,146154.3989,16.41624769,16.91287992,136550.8235
7467,0.159296484,0.47048663,0.102811276,0.005418472,3.017137533,10.0802706,2193.808698,4128.218628,15859.90338,11919.86161,0.999799299,0.742084719,0.518590925,0.957224471,81360.44304,149337.4636,15.50161018,16.14605724,105481.156
7468,0.123453433,0.471165842,0.121126905,0.004191998,3.010923476,10.12965731,1934.250879,3659.618507,15832.56552,12110.17758,0.99848127,0.740101645,0.516675273,0.947046485,79044.09874,143325.7437,16.23878734,16.75002007,125738.5171
7469,0.118156282,0.485759686,0.112363233,0.006674188,2.967228767,9.931800099,1975.215247,4092.433838,14285.12559,13371.89216,0.994811949,0.759534551,0.483994518,0.91295558,65222.38593,124427.3174,15.68617978,16.04211688,166335.3795
7470,0.120108903,0.580309748,0.112951828,0.005067388,2.958335689,10.11148779,2056.528487,3822.227796,12747.5353,12028.68573,0.998719765,0.75536425,0.429188006,0.989385555,64617.95026,117419.258,16.31006714,16.82323711,102892.4345
7471,0.127905811,0.438992096,0.102432347,0.006784117,2.973004585,9.458637027,1846.945683,3920.507189,14663.84772,11272.35555,0.995570702,0.754763702,0.46784273,0.940752322,65834.1704,120539.7636,15.41951074,15.90980381,111577.3345
7472,0.144000812,0.477280112,0.096614733,0.003537584,2.987531524,9.56251215,2077.518846,4415.846144,15216.94659,11884.27029,0.997045196,0.779182253,0.457492737,0.935993355,83182.09724,152150.1624,16.40744109,16.86923522,149348.0758
7473,0.169012433,0.522193557,0.089027366,0.005567687,3.058096235,10.17225383,2025.47131,3682.443457,15227.84834,11760.16133,0.995598544,0.76286084,0.466187586,0.928656528,71992.30735,135913.3355,15.59478284,16.10447155,125411.898
7474,0.139924052,0.435208149,0.101482232,0.003193079,2.945629666,9.924362329,2272.363379,4092.81042,15739.14079,12831.94046,0.99960403,0.737400736,0.500545497,0.92259974,89928.94505,168318.2059,16.39231309,16.94758712,141172.208
7475,0.180660674,0.53612769,0.10689724,0.005510522,2.949456644,10.05500476,2198.264698,4097.818676,14927.1289,11490.8857,0.984248145,0.7521369,0.481318915,0.923266499,80057.37823,147007.756,15.08724951,15.60130542,130239.487
7476,0.191096848,0.414802509,0.100146773,0.003249385,2.999795462,9.937714676,2139.183039,3699.739679,13209.03764,14157.84921,0.995835157,0.769663396,0.499298486,0.932742465,87529.37678,193868.2533,15.61655361,16.21736335,176992.597
7477,0.245458118,0.505734019,0.098016033,0.004689676,2.970099911,10.11375103,1930.553076,3828.54519,15747.61437,10730.79166,0.977954258,0.785652898,0.473133652,0.954462723,89541.57576,168059.2662,14.64119148,15.28423455,122103.3156
7478,0.130194268,0.527065818,0.107772142,0.005155424,3.026202435,9.888340411,2609.497184,3909.124606,14585.35427,9485.817871,0.98830273,0.75266031,0.50329585,0.939510924,78505.88222,124387.9202,16.03634349,16.49720369,99557.38904
7479,0.134132824,0.5604063,0.111819676,0.006866048,2.986675236,10.23498524,1792.409593,4119.019045,14063.03855,10335.44627,0.987961033,0.755895601,0.528796866,0.967430252,61852.12028,107515.7305,15.56536415,16.06134158,92067.9194
7480,0.147949697,0.512971931,0.098784375,0.006249744,3.017365267,10.22479677,1887.22218,4099.056158,15634.62964,12240.3055,0.993276767,0.761335259,0.458799677,0.91356534,69507.6008,130245.115,15.47229356,15.88892819,145781.2436
7481,0.109665781,0.418802389,0.096996456,0.003269762,3.025724629,10.28567351,2142.652119,3837.269767,15836.6068,13219.79682,0.996565808,0.753716713,0.488955752,0.961431992,79596.66682,147925.8113,16.86041193,17.4070235,125004.9366
7482,0.163974739,0.491691392,0.082245281,0.005469873,2.984817249,9.744485473,2067.477197,3578.515012,15693.98312,13721.51134,0.983771189,0.76781399,0.492812522,0.931831031,72919.47885,148171.8138,15.67271246,16.19484109,144126.0455
7483,0.165694875,0.521672911,0.109950905,0.006501474,2.9929845,9.924579688,1764.957295,3753.711703,15775.55184,14262.9223,0.994370468,0.759554299,0.466347106,0.939670214,71668.00385,148273.4035,15.01305628,15.51946247,151272.6376
